time	V(min_es)	V(n001)	Ix(D1:-)
3.772675087482831e-007	4.145869e+000	5.600406e+000	9.747178e-004
3.801971962482832e-007	4.146292e+000	5.598193e+000	8.190683e-004
3.831268837482832e-007	4.146714e+000	5.595711e+000	6.730190e-004
3.860565712482833e-007	4.147135e+000	5.592957e+000	5.383237e-004
3.880096962482834e-007	4.147415e+000	5.590928e+000	4.546043e-004
3.899628212482834e-007	4.147695e+000	5.588709e+000	3.756319e-004
3.919159462482835e-007	4.147974e+000	5.586257e+000	3.013521e-004
3.938690712482835e-007	4.148252e+000	5.583516e+000	2.317593e-004
3.948456337482835e-007	4.148391e+000	5.582016e+000	1.987348e-004
3.958221962482836e-007	4.148530e+000	5.580417e+000	1.669075e-004
3.967987587482836e-007	4.148668e+000	5.578705e+000	1.362952e-004
3.977753212482836e-007	4.148807e+000	5.576869e+000	1.069205e-004
3.987518837482836e-007	4.148944e+000	5.574893e+000	7.881071e-005
3.997284462482836e-007	4.149082e+000	5.572763e+000	5.199766e-005
4.007050087482837e-007	4.149220e+000	5.570460e+000	2.651678e-005
4.016815712482837e-007	4.149357e+000	5.567968e+000	2.405842e-006
4.026581337482837e-007	4.149494e+000	5.565269e+000	-2.029705e-005
4.036346962482837e-007	4.149631e+000	5.562345e+000	-4.155602e-005
4.046112587482838e-007	4.149767e+000	5.559179e+000	-6.134062e-005
4.055878212482838e-007	4.149903e+000	5.555760e+000	-7.962922e-005
4.065643837482838e-007	4.150039e+000	5.552076e+000	-9.641235e-005
4.075409462482838e-007	4.150174e+000	5.548121e+000	-1.116952e-004
4.085175087482839e-007	4.150309e+000	5.543897e+000	-1.254993e-004
4.094940712482839e-007	4.150443e+000	5.539405e+000	-1.378623e-004
4.104706337482839e-007	4.150576e+000	5.534658e+000	-1.488365e-004
4.114471962482839e-007	4.150709e+000	5.529669e+000	-1.584862e-004
4.124237587482840e-007	4.150842e+000	5.524457e+000	-1.668846e-004
4.134003212482840e-007	4.150973e+000	5.519043e+000	-1.741102e-004
4.143768837482840e-007	4.151105e+000	5.513450e+000	-1.802439e-004
4.153534462482840e-007	4.151236e+000	5.507703e+000	-1.853669e-004
4.173065712482841e-007	4.151495e+000	5.495843e+000	-1.928996e-004
4.192596962482841e-007	4.151752e+000	5.483646e+000	-1.973248e-004
4.212128212482842e-007	4.152007e+000	5.471277e+000	-1.992200e-004
4.241425087482842e-007	4.152385e+000	5.452687e+000	-1.984743e-004
4.258166158911414e-007	4.152598e+000	5.442119e+000	-1.962271e-004
4.274907230339986e-007	4.152809e+000	5.431723e+000	-1.937384e-004
4.291648301768558e-007	4.153019e+000	5.421501e+000	-1.910083e-004
4.308389373197130e-007	4.153227e+000	5.411450e+000	-1.880367e-004
4.325130444625702e-007	4.153434e+000	5.401572e+000	-1.848238e-004
4.341871516054273e-007	4.153638e+000	5.391867e+000	-1.813693e-004
4.358612587482845e-007	4.153841e+000	5.382334e+000	-1.776734e-004
4.390699641054274e-007	4.154226e+000	5.364790e+000	-1.719160e-004
4.422786694625704e-007	4.154605e+000	5.347632e+000	-1.668390e-004
4.454873748197133e-007	4.154979e+000	5.330861e+000	-1.624425e-004
4.486960801768563e-007	4.155348e+000	5.314477e+000	-1.587264e-004
4.519047855339992e-007	4.155711e+000	5.298479e+000	-1.556908e-004
4.551134908911422e-007	4.156070e+000	5.282868e+000	-1.533356e-004
4.583221962482851e-007	4.156423e+000	5.267644e+000	-1.516609e-004
4.687853658911425e-007	4.157535e+000	5.218886e+000	-1.459267e-004
4.792485355339998e-007	4.158601e+000	5.172081e+000	-1.402741e-004
4.897117051768573e-007	4.159623e+000	5.127229e+000	-1.347030e-004
5.001748748197147e-007	4.160598e+000	5.084330e+000	-1.292136e-004
5.106380444625721e-007	4.161529e+000	5.043385e+000	-1.238056e-004
5.211012141054294e-007	4.162413e+000	5.004393e+000	-1.184793e-004
5.315643837482868e-007	4.163252e+000	4.967354e+000	-1.132344e-004
5.519326873197158e-007	4.164762e+000	4.900832e+000	-1.041178e-004
5.723009908911449e-007	4.166164e+000	4.839006e+000	-9.559930e-005
5.926692944625741e-007	4.167459e+000	4.781877e+000	-8.767891e-005
6.130375980340031e-007	4.168646e+000	4.729444e+000	-8.035665e-005
6.334059016054321e-007	4.169726e+000	4.681707e+000	-7.363251e-005
6.537742051768612e-007	4.170698e+000	4.638666e+000	-6.750649e-005
6.741425087482903e-007	4.171563e+000	4.600322e+000	-6.197860e-005
6.946503212482908e-007	4.172365e+000	4.564702e+000	-5.683602e-005
7.151581337482913e-007	4.173108e+000	4.531600e+000	-5.204285e-005
7.356659462482918e-007	4.173794e+000	4.501017e+000	-4.759911e-005
7.561737587482923e-007	4.174422e+000	4.472953e+000	-4.350477e-005
7.766815712482928e-007	4.174993e+000	4.447408e+000	-3.975986e-005
7.971893837482934e-007	4.175505e+000	4.424382e+000	-3.636436e-005
8.176971962482938e-007	4.175960e+000	4.403874e+000	-3.331828e-005
8.309505444625798e-007	4.176237e+000	4.391336e+000	-3.145710e-005
8.442038926768659e-007	4.176500e+000	4.379419e+000	-2.968567e-005
8.574572408911519e-007	4.176748e+000	4.368122e+000	-2.800400e-005
8.707105891054379e-007	4.176982e+000	4.357445e+000	-2.641209e-005
8.839639373197240e-007	4.177202e+000	4.347388e+000	-2.490993e-005
8.972172855340100e-007	4.177408e+000	4.337951e+000	-2.349754e-005
9.104706337482960e-007	4.177599e+000	4.329134e+000	-2.217490e-005
9.114471962482960e-007	4.177613e+000	4.328499e+000	-2.207952e-005
9.238634908911528e-007	4.177782e+000	4.320699e+000	-2.090828e-005
9.362797855340096e-007	4.177942e+000	4.313263e+000	-1.979087e-005
9.486960801768663e-007	4.178094e+000	4.306192e+000	-1.872729e-005
9.611123748197231e-007	4.178237e+000	4.299485e+000	-1.771755e-005
9.735286694625799e-007	4.178372e+000	4.293143e+000	-1.676164e-005
9.859449641054366e-007	4.178498e+000	4.287165e+000	-1.585956e-005
9.983612587482934e-007	4.178617e+000	4.281552e+000	-1.501132e-005
9.993378212482933e-007	4.178626e+000	4.281120e+000	-1.494596e-005
1.000000000000000e-006	4.178634e+000	4.280828e+000	-1.489954e-005
